id;date;career_switch;happiness_with_salary;happiness_with_work_life_balance;happiness_with_coworkers;happiness_with_management;happiness_with_upward_mobility;happiness_with_skills_development;career_switch_difficulty;gender;age;education;time;time_spent;current_role;other_role_specified;industry;other_industry_specified;low_range;high_range;salary_average;current_salary;location;other_location_specified;favourite_programming_language;other_programming_language;ethnicity;other_ethnicity_specified;important_needs;other_needs_specified
62a33b3db4da29969c62df3d;2022-06-10;True;9;9;7;5;5;7;Very Difficult;Male;26;NA;08:38;00:00:44;Data Analyst;NA;Healthcare;NA;106,00;125,00;115,50;115500;United States;NA;Python;NA;White or Caucasian;NA;Remote Work;NA
62a33ba1bae91e4b8b82e35c;2022-06-10;False;1;2;5;2;1;3;Very Difficult;Male;36;NA;08:40;00:01:30;Data Analyst;NA;Finance;NA;41,00;65,00;53,00;53000;Canada;NA;R;NA;Asian or Asian American;NA;Remote Work;NA
62a33c2cbc6861bf3176bec1;2022-06-10;False;0;8;7;5;7;7;Easy;Male;23;NA;08:42;00:02:18;Data Engineer;NA;Other;Clean Energy;,00;40,00;20,00;20000;Other;Nigeria;Python;NA;Black or African American;NA;Good Work/Life Balance;NA
62a33c8624a26260273822f9;2022-06-10;True;10;6;7;10;7;10;Very Easy;Female;35;NA;08:43;00:02:10;Other;Analytics Consultant ;Finance;NA;150,00;225,00;187,50;187500;Canada;NA;R;NA;White or Caucasian;NA;Remote Work;NA
62a33c91f3072dd892621e03;2022-06-10;True;1;4;4;4;0;1;Difficult;Male;44;NA;08:44;00:01:51;Data Analyst;NA;Healthcare;NA;41,00;65,00;53,00;53000;United States;NA;R;NA;Black or African American;NA;Better Salary;NA
62a33cb6cf25554317300177;2022-06-10;True;2;3;3;3;3;2;Difficult;Male;33;NA;08:44;00:02:34;Data Analyst;NA;Other;Coworking space ;,00;40,00;20,00;20000;Other;Republic democratic of Congo ;Python;NA;Black or African American;NA;Good Work/Life Balance;NA
62a33cb72e54c9003e531c65;2022-06-10;True;0;6;6;6;6;5;Difficult;Male;24;NA;08:44;00:01:15;Data Scientist;NA;Finance;NA;,00;40,00;20,00;20000;Other;Other (Please Specify);Python;NA;Black or African American;NA;Better Salary;NA
62a33cd30f8c8599d5af0f8f;2022-06-10;True;10;5;5;5;5;9;Neither easy nor difficult;Male;35;NA;08:45;00:01:25;Data Engineer;NA;Other;Retail;125,00;150,00;137,50;137500;United States;NA;Other;SQL;Asian or Asian American;NA;Remote Work;NA
62a33cd3cf255543173001d9;2022-06-10;True;4;4;4;4;5;5;Neither easy nor difficult;Male;35;NA;08:45;00:02:10;Data Analyst;NA;Healthcare;NA;86,00;105,00;95,50;95500;United States;NA;R;NA;Asian or Asian American;NA;Better Salary;NA
62a33cd8bc6861bf3176c05f;2022-06-10;True;2;0;3;3;0;4;Very Difficult;Male;28;NA;08:45;00:01:27;Data Analyst;NA;Telecommunication;NA;41,00;65,00;53,00;53000;United States;NA;Python;NA;Hispanic or Latino;NA;Better Salary;NA
