id,date,current_role,other_role_specified,current_salary,education,age,gender,ethnicity,location,other_location_specified
62a33b3db4da29969c62df3d,2022-06-10,Data Analyst,NA,115500,NA,26,Male,White or Caucasian,United States,NA
62a33ba1bae91e4b8b82e35c,2022-06-10,Data Analyst,NA,53000,NA,36,Male,Asian or Asian American,Canada,NA
62a33c2cbc6861bf3176bec1,2022-06-10,Data Engineer,NA,20000,NA,23,Male,Black or African American,Other,Nigeria
62a33c8624a26260273822f9,2022-06-10,Other,Analytics Consultant ,187500,NA,35,Female,White or Caucasian,Canada,NA
62a33c91f3072dd892621e03,2022-06-10,Data Analyst,NA,53000,NA,44,Male,Black or African American,United States,NA
62a33cb6cf25554317300177,2022-06-10,Data Analyst,NA,20000,NA,33,Male,Black or African American,Other,Republic democratic of Congo 
62a33cb72e54c9003e531c65,2022-06-10,Data Scientist,NA,20000,NA,24,Male,Black or African American,Other,Other (Please Specify)
62a33cd30f8c8599d5af0f8f,2022-06-10,Data Engineer,NA,137500,NA,35,Male,Asian or Asian American,United States,NA
62a33cd3cf255543173001d9,2022-06-10,Data Analyst,NA,95500,NA,35,Male,Asian or Asian American,United States,NA
62a33cd8bc6861bf3176c05f,2022-06-10,Data Analyst,NA,53000,NA,28,Male,Hispanic or Latino,United States,NA
62a33ce918134ddc75ce8c30,2022-06-10,Data Analyst,NA,75500,NA,37,Male,White or Caucasian,Canada,NA
62a33cf30a77c1a77f65baa2,2022-06-10,Data Analyst,NA,20000,NA,32,Male,White or Caucasian,Other,Serbia
62a33d15f408bae018ed370d,2022-06-10,Data Analyst,NA,20000,NA,34,Male,Other,Other,Argentina
62a33d1ebae91e4b8b82e707,2022-06-10,Data Scientist,NA,20000,NA,30,Male,White or Caucasian,United Kingdom,NA
62a33d4624a26260273824c4,2022-06-10,Data Analyst,NA,53000,NA,31,Male,White or Caucasian,United States,NA
62a33d5c0f8c8599d5af107c,2022-06-10,Data Analyst,NA,53000,NA,29,Male,White or Caucasian,United States,NA
62a33d850f8c8599d5af10cb,2022-06-10,Data Analyst,NA,20000,NA,22,Male,Black or African American,Other,Niger
62a33d9bf8f7561645852496,2022-06-10,Student/Looking/None,NA,20000,NA,23,Male,Black or African American,United States,NA
62a33dbdd8c00e9f5419cd65,2022-06-10,Student/Looking/None,NA,53000,NA,26,Female,Asian or Asian American,Canada,NA
62a33de124a26260273826b2,2022-06-10,Data Analyst,NA,20000,NA,28,Male,Black or African American,Other,Nigeria
62a33dedd8c00e9f5419ce2b,2022-06-10,Data Analyst,NA,53000,NA,29,Male,Black or African American,Other,Kenya
62a33dfbd8c00e9f5419ceda,2022-06-10,Data Analyst,NA,115500,NA,31,Female,White or Caucasian,United States,NA
62a33e38f3072dd8926221d3,2022-06-10,Data Analyst,NA,20000,NA,28,Male,White or Caucasian,Other,Azerbaijan
62a33e54d8c00e9f5419cfe9,2022-06-10,Data Analyst,NA,20000,NA,32,Male,Hispanic or Latino,Other,Argentina
62a33e62575fa3a5ae88aabf,2022-06-10,Data Analyst,NA,20000,NA,24,Male,Black or African American,Other,Sudan
62a33e63cec54911e9ca4f99,2022-06-10,Data Analyst,NA,20000,NA,31,Male,Asian or Asian American,India,NA
62a33e72bae91e4b8b82ea1a,2022-06-10,Data Analyst,NA,75500,NA,23,Male,White or Caucasian,United States,NA
62a33e890f8c8599d5af13b9,2022-06-10,Data Analyst,NA,115500,NA,33,Female,Asian or Asian American,United States,NA
62a33e8bf8d5efcc22f7c79a,2022-06-10,Data Analyst,NA,95500,NA,43,Male,White or Caucasian,United States,NA
62a33e90cec54911e9ca5031,2022-06-10,Student/Looking/None,NA,20000,NA,23,Female,Other,Other,Nigeria
62a33e9df8f756164585277b,2022-06-10,Student/Looking/None,NA,53000,NA,31,Male,Black or African American,United States,NA
62a33eb6bc6861bf3176c5a3,2022-06-10,Data Analyst,NA,75500,NA,31,Male,White or Caucasian,United Kingdom,NA
62a33ee0bae91e4b8b82eaec,2022-06-10,Data Analyst,NA,20000,NA,25,Male,Asian or Asian American,India,NA
62a33ee80f8c8599d5af14b7,2022-06-10,Data Engineer,NA,137500,NA,43,Male,White or Caucasian,United States,NA
62a33efe0a77c1a77f65bf1e,2022-06-10,Data Analyst,NA,53000,NA,26,Female,Other,Canada,NA
62a33f0ef408bae018ed3aeb,2022-06-10,Other,FP&A Analyst,53000,NA,32,Male,White or Caucasian,Other,Japan
62a33f17f8f7561645852867,2022-06-10,Other,BI Developer ,20000,NA,31,Male,White or Caucasian,Other,Greece
62a33f52bc6861bf3176c72c,2022-06-10,Data Analyst,NA,95500,NA,29,Male,White or Caucasian,United States,NA
62a33f56cf255543173005e9,2022-06-10,Data Analyst,NA,20000,NA,24,Male,Hispanic or Latino,Other,Per? 
62a33f5a5d257a28a30d7bb5,2022-06-10,Student/Looking/None,NA,53000,NA,34,Male,White or Caucasian,United States,NA
62a33fa5cec54911e9ca51f1,2022-06-10,Data Analyst,NA,53000,NA,42,Male,Other,Other,Australia
62a33fcb575fa3a5ae88ad59,2022-06-10,Student/Looking/None,NA,20000,NA,40,Female,Asian or Asian American,United States,NA
62a33fcf18134ddc75ce91c3,2022-06-10,Student/Looking/None,NA,53000,NA,43,Male,White or Caucasian,Other,Spain
62a34006d8c00e9f5419d341,2022-06-10,Student/Looking/None,NA,20000,NA,23,Male,Other,Other,Kenya 
62a34020575fa3a5ae88ade0,2022-06-10,Student/Looking/None,NA,20000,NA,23,Male,Asian or Asian American,Other,Japan
62a34038b4da29969c62eafe,2022-06-10,Data Analyst,NA,95500,NA,28,Male,White or Caucasian,United States,NA
62a3406b575fa3a5ae88ae78,2022-06-10,Data Analyst,NA,75500,NA,32,Male,White or Caucasian,United States,NA
62a340cab4da29969c62ec01,2022-06-10,Data Analyst,NA,75500,NA,41,Female,White or Caucasian,United States,NA
62a340d62e54c9003e5324b4,2022-06-10,Data Analyst,NA,53000,High School,33,Male,White or Caucasian,United Kingdom,NA
62a340e10a77c1a77f65c2e7,2022-06-10,Other,Manager, Business Intelligence Develop,187500,NA,38,Male,Hispanic or Latino,United States,NA
62a340f5bc6861bf3176caa4,2022-06-10,Data Analyst,NA,20000,NA,22,Female,Other,India,NA
62a34117cec54911e9ca54e7,2022-06-10,Student/Looking/None,NA,20000,Bachelors,36,Male,Black or African American,Other,Barbados
62a3413a5d257a28a30d8074,2022-06-10,Data Engineer,NA,75500,Masters,28,Female,Asian or Asian American,United States,NA
62a341a1f3072dd8926229a5,2022-06-10,Student/Looking/None,NA,20000,NA,30,Male,Other,Other,South Africa
62a341b0f8f7561645852d1d,2022-06-10,Data Analyst,NA,75500,Bachelors,24,Female,Hispanic or Latino,United States,NA
62a341e8f8d5efcc22f7d002,2022-06-10,Other,Business Analyst ,53000,Bachelors,29,Male,White or Caucasian,United States,NA
62a34210cf25554317300c02,2022-06-10,Data Analyst,NA,20000,Associates,29,Male,Hispanic or Latino,Other,Colombia
62a3424eb4da29969c62eedd,2022-06-10,Other,Business Analyst,53000,Masters,38,Male,White or Caucasian,Other,Germany
62a34256bae91e4b8b82f16d,2022-06-10,Data Analyst,NA,20000,Masters,31,Male,White or Caucasian,Other,Bulgaria
62a3426cf408bae018ed409b,2022-06-10,Student/Looking/None,NA,20000,Masters,25,Male,White or Caucasian,United States,NA
62a34272f8d5efcc22f7d15f,2022-06-10,Data Analyst,NA,75500,Masters,24,Male,White or Caucasian,United States,NA
62a34340bc6861bf3176d05b,2022-06-10,Other,Business Intelligence Consultant,53000,Bachelors,28,Male,White or Caucasian,Other,Turkey
62a34383b4da29969c62f1be,2022-06-10,Student/Looking/None,NA,20000,Bachelors,23,Female,Asian or Asian American,India,NA
62a34389cec54911e9ca5a22,2022-06-10,Data Engineer,NA,20000,Masters,21,Male,Hispanic or Latino,Other,Spain
62a343a22e54c9003e532a2a,2022-06-10,Data Analyst,NA,20000,Bachelors,29,Male,Other,Other,France
62a343d9f3072dd892622fe4,2022-06-10,Data Analyst,NA,53000,Bachelors,25,Male,Asian or Asian American,United States,NA
62a34400d8c00e9f5419dc2b,2022-06-10,Data Analyst,NA,53000,Masters,27,Male,Black or African American,Other,Germany
62a34425f8d5efcc22f7d525,2022-06-10,Data Analyst,NA,53000,Bachelors,23,Male,Asian or Asian American,India,NA
62a34449575fa3a5ae88b637,2022-06-10,Other,Sr. Supply Chain Analyst ,95500,Masters,32,Male,Asian or Asian American,United States,NA
62a3445dcf255543173011e1,2022-06-10,Student/Looking/None,NA,115500,Bachelors,22,Male,Asian or Asian American,India,NA
62a3447a575fa3a5ae88b6c0,2022-06-10,Data Analyst,NA,20000,Bachelors,25,Male,Asian or Asian American,Other,Thailand
62a3449f7dc029e2d66bf5d1,2022-06-10,Data Analyst,NA,20000,Masters,36,Female,White or Caucasian,Other,Germany
62a344c5f408bae018ed4806,2022-06-10,Data Analyst,NA,115500,Bachelors,27,Female,White or Caucasian,United States,NA
62a344c6f8d5efcc22f7d6e1,2022-06-10,Other,Business analyst ,20000,Bachelors,23,Male,Asian or Asian American,India,NA
62a344e1f3072dd892623328,2022-06-10,Student/Looking/None,NA,20000,Bachelors,26,Male,Black or African American,Other,Netherlands
62a3450424a262602738357f,2022-06-10,Other,Director of Data Analytics,95500,PhD,33,Female,Hispanic or Latino,United States,NA
62a3452818134ddc75ce9e1b,2022-06-10,Data Analyst,NA,115500,Masters,27,Male,White or Caucasian,Other,Turkey
62a345490a77c1a77f65cc5b,2022-06-10,Data Analyst,NA,53000,Associates,42,Male,White or Caucasian,United States,NA
62a3455bbc6861bf3176d57a,2022-06-10,Data Analyst,NA,20000,Masters,29,Male,White or Caucasian,Other,Spain
62a3457bf8d5efcc22f7da17,2022-06-10,Data Analyst,NA,137500,Masters,27,Female,Asian or Asian American,United States,NA
62a345b2bae91e4b8b82fad6,2022-06-10,Student/Looking/None,NA,53000,Bachelors,39,Female,Hispanic or Latino,United States,NA
62a345c47dc029e2d66bf80a,2022-06-10,Data Analyst,NA,53000,Masters,31,Male,White or Caucasian,Other,Denmark
62a345e25d257a28a30d8b43,2022-06-10,Data Analyst,NA,75500,Bachelors,29,Male,Hispanic or Latino,Other,Brazil
62a34646f8d5efcc22f7dc5c,2022-06-10,Data Analyst,NA,75500,Masters,31,Male,White or Caucasian,United States,NA
62a34687f408bae018ed4c52,2022-06-10,Data Analyst,NA,20000,Masters,30,Male,Hispanic or Latino,Other,Mexico
62a346a37dc029e2d66bfa6d,2022-06-10,Data Engineer,NA,20000,Masters,33,Male,Hispanic or Latino,Other,Mexico
62a346a95d257a28a30d8cb9,2022-06-10,Data Analyst,NA,75500,Bachelors,25,Male,White or Caucasian,United States,NA
62a346b4bc6861bf3176d7ce,2022-06-10,Student/Looking/None,NA,20000,Bachelors,23,Male,Other,India,NA
62a346cef8f756164585385b,2022-06-10,Data Analyst,NA,53000,Bachelors,33,Male,Asian or Asian American,United States,NA
62a346d724a2626027383abd,2022-06-10,Other,Business Analyst,75500,Bachelors,35,Male,Hispanic or Latino,Other,Chile
62a346d90a77c1a77f65d08d,2022-06-10,Data Analyst,NA,53000,Masters,42,Female,White or Caucasian,Other,Greece
62a34726f8d5efcc22f7dec7,2022-06-10,Data Analyst,NA,75500,Bachelors,25,Male,White or Caucasian,United States,NA
62a3476c5d257a28a30d8e6d,2022-06-10,Data Analyst,NA,95500,Bachelors,23,Male,White or Caucasian,United States,NA
62a347b4f8f7561645853a98,2022-06-10,Other,Learning Management Specialist,53000,Bachelors,51,Female,Black or African American,United States,NA
62a347f6b4da29969c62fb79,2022-06-10,Data Analyst,NA,20000,Bachelors,30,Male,Black or African American,United Kingdom,NA
62a3483018134ddc75cea4e6,2022-06-10,Data Analyst,NA,53000,Bachelors,23,Male,Asian or Asian American,India,NA
62a348650f8c8599d5af2b77,2022-06-10,Other,Research Analyst,53000,Bachelors,24,Male,Asian or Asian American,Canada,NA
62a3489318134ddc75cea659,2022-06-10,Student/Looking/None,NA,53000,Masters,25,Male,Asian or Asian American,Other,Australia
62a348bf2e54c9003e533634,2022-06-10,Data Analyst,NA,53000,Masters,55,Female,Other,United States,NA
62a348c2f3072dd892623c10,2022-06-10,Data Analyst,NA,95500,Masters,30,Female,White or Caucasian,United States,NA
62a348f2f8d5efcc22f7e2ba,2022-06-10,Data Analyst,NA,53000,Bachelors,25,Male,Asian or Asian American,Canada,NA
62a349160a77c1a77f65d4db,2022-06-10,Data Analyst,NA,75500,Masters,28,Male,White or Caucasian,United States,NA
62a3493fb4da29969c62fe63,2022-06-10,Other,Insights analyst,53000,Bachelors,34,Male,White or Caucasian,United Kingdom,NA
62a3496e575fa3a5ae88c4e6,2022-06-10,Data Analyst,NA,20000,Bachelors,28,Female,Hispanic or Latino,Other,Costa Rica
62a3498e575fa3a5ae88c554,2022-06-10,Student/Looking/None,NA,20000,Bachelors,24,Male,Asian or Asian American,Other,Vietnam
62a34991b4da29969c62ff4b,2022-06-10,Student/Looking/None,NA,20000,Masters,31,Male,Black or African American,United States,NA
62a349bbf8f756164585400d,2022-06-10,Data Analyst,NA,53000,Bachelors,25,Male,Asian or Asian American,Canada,NA
62a349c7cec54911e9ca67c7,2022-06-10,Data Analyst,NA,115500,Bachelors,38,Female,White or Caucasian,United States,NA
62a349d5d8c00e9f5419ead2,2022-06-10,Data Analyst,NA,53000,Bachelors,30,Male,Hispanic or Latino,Other,Netherlands
62a349e6b4da29969c63000c,2022-06-10,Data Analyst,NA,20000,Bachelors,25,Male,Asian or Asian American,India,NA
62a34a03cec54911e9ca6869,2022-06-10,Data Analyst,NA,20000,Bachelors,29,Female,Black or African American,Other,Nigeria 
62a34ab15d257a28a30d9589,2022-06-10,Data Scientist,NA,187500,Masters,21,Male,White or Caucasian,Other,Portugal
62a34abc0f8c8599d5af31c5,2022-06-10,Data Analyst,NA,75500,Bachelors,39,Female,Asian or Asian American,United States,NA
62a34b07cec54911e9ca6b6e,2022-06-10,Student/Looking/None,NA,20000,Bachelors,25,Male,White or Caucasian,Other,turkey
62a34b0eb4da29969c6302ce,2022-06-10,Other,Does a social media analyst count?,95500,Masters,42,Female,Hispanic or Latino,United States,NA
62a34b1b0f8c8599d5af328b,2022-06-10,Data Analyst,NA,53000,Bachelors,25,Male,White or Caucasian,United States,NA
62a34b5b5d257a28a30d96a6,2022-06-10,Data Scientist,NA,95500,Bachelors,22,Male,White or Caucasian,United States,NA
62a34b7ebae91e4b8b83076c,2022-06-10,Data Analyst,NA,20000,High School,23,Male,Hispanic or Latino,Other,Colombia
62a34b99cec54911e9ca6e14,2022-06-10,Data Engineer,NA,53000,High School,25,Male,Other,Other,Egypt
62a34bb0f3072dd892624210,2022-06-10,Data Engineer,NA,75500,Masters,45,Male,White or Caucasian,Canada,NA
62a34bd0cf2555431730208b,2022-06-10,Data Analyst,NA,75500,Bachelors,24,Male,White or Caucasian,United States,NA
62a34bd4f408bae018ed57bd,2022-06-10,Student/Looking/None,NA,20000,NA,25,Male,Black or African American,United States,NA
62a34c66b4da29969c6305af,2022-06-10,Data Analyst,NA,75500,Bachelors,26,Male,White or Caucasian,United States,NA
62a34d1ff8f756164585465c,2022-06-10,Data Analyst,NA,53000,Bachelors,23,Male,Asian or Asian American,Canada,NA
62a34d4118134ddc75ceb0ed,2022-06-10,Student/Looking/None,NA,20000,Masters,42,Female,White or Caucasian,United Kingdom,NA
62a34da0f408bae018ed5abd,2022-06-10,Other,Educator,53000,Bachelors,42,Female,Black or African American,United States,NA
62a34dbb5d257a28a30d9a61,2022-06-10,Other,Business Analyst,20000,Masters,25,Male,Asian or Asian American,India,NA
62a34e00f8f7561645854954,2022-06-10,Data Analyst,NA,95500,Masters,38,Male,White or Caucasian,United States,NA
62a34e082e54c9003e534118,2022-06-10,Other,Business Intelligence Engineer,20000,Bachelors,24,Male,Hispanic or Latino,Other,Costa Rica
62a34eb7bc6861bf3176e6d8,2022-06-10,Data Analyst,NA,75500,Bachelors,28,Male,White or Caucasian,United States,NA
62a34f2af8f7561645854c1c,2022-06-10,Data Analyst,NA,53000,Bachelors,21,Male,Asian or Asian American,United States,NA
