id;current_role;other_role_specified;current_salary;low_range;high_range;salary_average
62a33b3db4da29969c62df3d;Data Analyst;NA;115500;106,00;125,00;115,50
62a33ba1bae91e4b8b82e35c;Data Analyst;NA;53000;41,00;65,00;53,00
62a33c2cbc6861bf3176bec1;Data Engineer;NA;20000;,00;40,00;20,00
62a33c8624a26260273822f9;Other;Analytics Consultant ;187500;150,00;225,00;187,50
62a33c91f3072dd892621e03;Data Analyst;NA;53000;41,00;65,00;53,00
62a33cb6cf25554317300177;Data Analyst;NA;20000;,00;40,00;20,00
62a33cb72e54c9003e531c65;Data Scientist;NA;20000;,00;40,00;20,00
62a33cd30f8c8599d5af0f8f;Data Engineer;NA;137500;125,00;150,00;137,50
62a33cd3cf255543173001d9;Data Analyst;NA;95500;86,00;105,00;95,50
62a33cd8bc6861bf3176c05f;Data Analyst;NA;53000;41,00;65,00;53,00
62a33ce918134ddc75ce8c30;Data Analyst;NA;75500;66,00;85,00;75,50
62a33cf30a77c1a77f65baa2;Data Analyst;NA;20000;,00;40,00;20,00
62a33d15f408bae018ed370d;Data Analyst;NA;20000;,00;40,00;20,00
62a33d1ebae91e4b8b82e707;Data Scientist;NA;20000;,00;40,00;20,00
62a33d4624a26260273824c4;Data Analyst;NA;53000;41,00;65,00;53,00
62a33d5c0f8c8599d5af107c;Data Analyst;NA;53000;41,00;65,00;53,00
62a33d850f8c8599d5af10cb;Data Analyst;NA;20000;,00;40,00;20,00
62a33d9bf8f7561645852496;Student/Looking/None;NA;20000;,00;40,00;20,00
62a33dbdd8c00e9f5419cd65;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a33de124a26260273826b2;Data Analyst;NA;20000;,00;40,00;20,00
62a33dedd8c00e9f5419ce2b;Data Analyst;NA;53000;41,00;65,00;53,00
62a33dfbd8c00e9f5419ceda;Data Analyst;NA;115500;106,00;125,00;115,50
62a33e38f3072dd8926221d3;Data Analyst;NA;20000;,00;40,00;20,00
62a33e54d8c00e9f5419cfe9;Data Analyst;NA;20000;,00;40,00;20,00
62a33e62575fa3a5ae88aabf;Data Analyst;NA;20000;,00;40,00;20,00
62a33e63cec54911e9ca4f99;Data Analyst;NA;20000;,00;40,00;20,00
62a33e72bae91e4b8b82ea1a;Data Analyst;NA;75500;66,00;85,00;75,50
62a33e890f8c8599d5af13b9;Data Analyst;NA;115500;106,00;125,00;115,50
62a33e8bf8d5efcc22f7c79a;Data Analyst;NA;95500;86,00;105,00;95,50
62a33e90cec54911e9ca5031;Student/Looking/None;NA;20000;,00;40,00;20,00
62a33e9df8f756164585277b;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a33eb6bc6861bf3176c5a3;Data Analyst;NA;75500;66,00;85,00;75,50
62a33ee0bae91e4b8b82eaec;Data Analyst;NA;20000;,00;40,00;20,00
62a33ee80f8c8599d5af14b7;Data Engineer;NA;137500;125,00;150,00;137,50
62a33efe0a77c1a77f65bf1e;Data Analyst;NA;53000;41,00;65,00;53,00
62a33f0ef408bae018ed3aeb;Other;FP&A Analyst;53000;41,00;65,00;53,00
62a33f17f8f7561645852867;Other;BI Developer ;20000;,00;40,00;20,00
62a33f52bc6861bf3176c72c;Data Analyst;NA;95500;86,00;105,00;95,50
62a33f56cf255543173005e9;Data Analyst;NA;20000;,00;40,00;20,00
62a33f5a5d257a28a30d7bb5;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a33fa5cec54911e9ca51f1;Data Analyst;NA;53000;41,00;65,00;53,00
62a33fcb575fa3a5ae88ad59;Student/Looking/None;NA;20000;,00;40,00;20,00
62a33fcf18134ddc75ce91c3;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a34006d8c00e9f5419d341;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34020575fa3a5ae88ade0;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34038b4da29969c62eafe;Data Analyst;NA;95500;86,00;105,00;95,50
62a3406b575fa3a5ae88ae78;Data Analyst;NA;75500;66,00;85,00;75,50
62a340cab4da29969c62ec01;Data Analyst;NA;75500;66,00;85,00;75,50
62a340d62e54c9003e5324b4;Data Analyst;NA;53000;41,00;65,00;53,00
62a340e10a77c1a77f65c2e7;Other;Manager, Business Intelligence Develop;187500;150,00;225,00;187,50
62a340f5bc6861bf3176caa4;Data Analyst;NA;20000;,00;40,00;20,00
62a34117cec54911e9ca54e7;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3413a5d257a28a30d8074;Data Engineer;NA;75500;66,00;85,00;75,50
62a341a1f3072dd8926229a5;Student/Looking/None;NA;20000;,00;40,00;20,00
62a341b0f8f7561645852d1d;Data Analyst;NA;75500;66,00;85,00;75,50
62a341e8f8d5efcc22f7d002;Other;Business Analyst ;53000;41,00;65,00;53,00
62a34210cf25554317300c02;Data Analyst;NA;20000;,00;40,00;20,00
62a3424eb4da29969c62eedd;Other;Business Analyst;53000;41,00;65,00;53,00
62a34256bae91e4b8b82f16d;Data Analyst;NA;20000;,00;40,00;20,00
62a3426cf408bae018ed409b;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34272f8d5efcc22f7d15f;Data Analyst;NA;75500;66,00;85,00;75,50
62a34340bc6861bf3176d05b;Other;Business Intelligence Consultant;53000;41,00;65,00;53,00
62a34383b4da29969c62f1be;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34389cec54911e9ca5a22;Data Engineer;NA;20000;,00;40,00;20,00
62a343a22e54c9003e532a2a;Data Analyst;NA;20000;,00;40,00;20,00
62a343d9f3072dd892622fe4;Data Analyst;NA;53000;41,00;65,00;53,00
62a34400d8c00e9f5419dc2b;Data Analyst;NA;53000;41,00;65,00;53,00
62a34425f8d5efcc22f7d525;Data Analyst;NA;53000;41,00;65,00;53,00
62a34449575fa3a5ae88b637;Other;Sr. Supply Chain Analyst ;95500;86,00;105,00;95,50
62a3445dcf255543173011e1;Student/Looking/None;NA;115500;106,00;125,00;115,50
62a3447a575fa3a5ae88b6c0;Data Analyst;NA;20000;,00;40,00;20,00
62a3449f7dc029e2d66bf5d1;Data Analyst;NA;20000;,00;40,00;20,00
62a344c5f408bae018ed4806;Data Analyst;NA;115500;106,00;125,00;115,50
62a344c6f8d5efcc22f7d6e1;Other;Business analyst ;20000;,00;40,00;20,00
62a344e1f3072dd892623328;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3450424a262602738357f;Other;Director of Data Analytics;95500;86,00;105,00;95,50
62a3452818134ddc75ce9e1b;Data Analyst;NA;115500;106,00;125,00;115,50
62a345490a77c1a77f65cc5b;Data Analyst;NA;53000;41,00;65,00;53,00
62a3455bbc6861bf3176d57a;Data Analyst;NA;20000;,00;40,00;20,00
62a3457bf8d5efcc22f7da17;Data Analyst;NA;137500;125,00;150,00;137,50
62a345b2bae91e4b8b82fad6;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a345c47dc029e2d66bf80a;Data Analyst;NA;53000;41,00;65,00;53,00
62a345e25d257a28a30d8b43;Data Analyst;NA;75500;66,00;85,00;75,50
62a34646f8d5efcc22f7dc5c;Data Analyst;NA;75500;66,00;85,00;75,50
62a34687f408bae018ed4c52;Data Analyst;NA;20000;,00;40,00;20,00
62a346a37dc029e2d66bfa6d;Data Engineer;NA;20000;,00;40,00;20,00
62a346a95d257a28a30d8cb9;Data Analyst;NA;75500;66,00;85,00;75,50
62a346b4bc6861bf3176d7ce;Student/Looking/None;NA;20000;,00;40,00;20,00
62a346cef8f756164585385b;Data Analyst;NA;53000;41,00;65,00;53,00
62a346d724a2626027383abd;Other;Business Analyst;75500;66,00;85,00;75,50
62a346d90a77c1a77f65d08d;Data Analyst;NA;53000;41,00;65,00;53,00
62a34726f8d5efcc22f7dec7;Data Analyst;NA;75500;66,00;85,00;75,50
62a3476c5d257a28a30d8e6d;Data Analyst;NA;95500;86,00;105,00;95,50
62a347b4f8f7561645853a98;Other;Learning Management Specialist;53000;41,00;65,00;53,00
62a347f6b4da29969c62fb79;Data Analyst;NA;20000;,00;40,00;20,00
62a3483018134ddc75cea4e6;Data Analyst;NA;53000;41,00;65,00;53,00
62a348650f8c8599d5af2b77;Other;Research Analyst;53000;41,00;65,00;53,00
62a3489318134ddc75cea659;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a348bf2e54c9003e533634;Data Analyst;NA;53000;41,00;65,00;53,00
62a348c2f3072dd892623c10;Data Analyst;NA;95500;86,00;105,00;95,50
62a348f2f8d5efcc22f7e2ba;Data Analyst;NA;53000;41,00;65,00;53,00
62a349160a77c1a77f65d4db;Data Analyst;NA;75500;66,00;85,00;75,50
62a3493fb4da29969c62fe63;Other;Insights analyst;53000;41,00;65,00;53,00
62a3496e575fa3a5ae88c4e6;Data Analyst;NA;20000;,00;40,00;20,00
62a3498e575fa3a5ae88c554;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34991b4da29969c62ff4b;Student/Looking/None;NA;20000;,00;40,00;20,00
62a349bbf8f756164585400d;Data Analyst;NA;53000;41,00;65,00;53,00
62a349c7cec54911e9ca67c7;Data Analyst;NA;115500;106,00;125,00;115,50
62a349d5d8c00e9f5419ead2;Data Analyst;NA;53000;41,00;65,00;53,00
62a349e6b4da29969c63000c;Data Analyst;NA;20000;,00;40,00;20,00
62a34a03cec54911e9ca6869;Data Analyst;NA;20000;,00;40,00;20,00
62a34ab15d257a28a30d9589;Data Scientist;NA;187500;150,00;225,00;187,50
62a34abc0f8c8599d5af31c5;Data Analyst;NA;75500;66,00;85,00;75,50
62a34b07cec54911e9ca6b6e;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34b0eb4da29969c6302ce;Other;Does a social media analyst count?;95500;86,00;105,00;95,50
62a34b1b0f8c8599d5af328b;Data Analyst;NA;53000;41,00;65,00;53,00
62a34b5b5d257a28a30d96a6;Data Scientist;NA;95500;86,00;105,00;95,50
62a34b7ebae91e4b8b83076c;Data Analyst;NA;20000;,00;40,00;20,00
62a34b99cec54911e9ca6e14;Data Engineer;NA;53000;41,00;65,00;53,00
62a34bb0f3072dd892624210;Data Engineer;NA;75500;66,00;85,00;75,50
62a34bd0cf2555431730208b;Data Analyst;NA;75500;66,00;85,00;75,50
62a34bd4f408bae018ed57bd;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34c66b4da29969c6305af;Data Analyst;NA;75500;66,00;85,00;75,50
62a34d1ff8f756164585465c;Data Analyst;NA;53000;41,00;65,00;53,00
62a34d4118134ddc75ceb0ed;Student/Looking/None;NA;20000;,00;40,00;20,00
62a34da0f408bae018ed5abd;Other;Educator;53000;41,00;65,00;53,00
62a34dbb5d257a28a30d9a61;Other;Business Analyst;20000;,00;40,00;20,00
62a34e00f8f7561645854954;Data Analyst;NA;95500;86,00;105,00;95,50
62a34e082e54c9003e534118;Other;Business Intelligence Engineer;20000;,00;40,00;20,00
62a34eb7bc6861bf3176e6d8;Data Analyst;NA;75500;66,00;85,00;75,50
62a34f2af8f7561645854c1c;Data Analyst;NA;53000;41,00;65,00;53,00
62a34f3bf408bae018ed5e42;Data Analyst;NA;115500;106,00;125,00;115,50
62a34fa418134ddc75ceb509;Data Analyst;NA;20000;,00;40,00;20,00
62a34fbacec54911e9ca776f;Data Analyst;NA;20000;,00;40,00;20,00
62a34fc3f3072dd892624a45;Data Analyst;NA;75500;66,00;85,00;75,50
62a34ff1f408bae018ed601d;Data Analyst;NA;53000;41,00;65,00;53,00
62a34ff4f3072dd892624b32;Data Analyst;NA;53000;41,00;65,00;53,00
62a3505bd8c00e9f5419f8df;Data Analyst;NA;75500;66,00;85,00;75,50
62a350f7f3072dd892624d05;Data Analyst;NA;20000;,00;40,00;20,00
62a35130f3072dd892624d9f;Data Analyst;NA;20000;,00;40,00;20,00
62a351860a77c1a77f65e86b;Data Analyst;NA;75500;66,00;85,00;75,50
62a3519b24a262602738514a;Data Analyst;NA;75500;66,00;85,00;75,50
62a35236b4da29969c631214;Other;Research Associate ;20000;,00;40,00;20,00
62a352a32e54c9003e534981;Data Analyst;NA;75500;66,00;85,00;75,50
62a352f00a77c1a77f65eae7;Data Analyst;NA;20000;,00;40,00;20,00
62a353372e54c9003e534a40;Other;Analytics Manager;187500;150,00;225,00;187,50
62a353565d257a28a30da59f;Data Analyst;NA;20000;,00;40,00;20,00
62a353f07dc029e2d66c1783;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3545e0f8c8599d5af474b;Data Analyst;NA;115500;106,00;125,00;115,50
62a35472cec54911e9ca82bc;Other;Business Analyst;53000;41,00;65,00;53,00
62a354bdb4da29969c631700;Data Analyst;NA;53000;41,00;65,00;53,00
62a354e9cf255543173031ed;Data Engineer;NA;95500;86,00;105,00;95,50
62a35541f3072dd892625517;Data Analyst;NA;53000;41,00;65,00;53,00
62a355445d257a28a30dab12;Data Analyst;NA;53000;41,00;65,00;53,00
62a35631cf25554317303425;Data Analyst;NA;53000;41,00;65,00;53,00
62a357390a77c1a77f65f189;Data Engineer;NA;53000;41,00;65,00;53,00
62a3578b0a77c1a77f65f279;Data Analyst;NA;53000;41,00;65,00;53,00
62a357d30f8c8599d5af4ea3;Data Analyst;NA;20000;,00;40,00;20,00
62a3582e575fa3a5ae88e506;Other;Manager of a team of Data Analysts;137500;125,00;150,00;137,50
62a35878575fa3a5ae88e5d5;Data Analyst;NA;53000;41,00;65,00;53,00
62a35981bae91e4b8b8323dd;Data Analyst;NA;115500;106,00;125,00;115,50
62a35a2c7dc029e2d66c2519;Student/Looking/None;NA;20000;,00;40,00;20,00
62a35aa2f8d5efcc22f8075d;Data Analyst;NA;53000;41,00;65,00;53,00
62a35ababae91e4b8b83269d;Data Analyst;NA;20000;,00;40,00;20,00
62a35ae0575fa3a5ae88ea98;Data Engineer;NA;20000;,00;40,00;20,00
62a35ae87dc029e2d66c279b;Data Analyst;NA;53000;41,00;65,00;53,00
62a35b13bc6861bf31770188;Data Analyst;NA;75500;66,00;85,00;75,50
62a35b72f408bae018ed76a8;Data Analyst;NA;95500;86,00;105,00;95,50
62a35b965d257a28a30db899;Data Analyst;NA;75500;66,00;85,00;75,50
62a35ba3f3072dd892626068;Data Analyst;NA;75500;66,00;85,00;75,50
62a35c890a77c1a77f65fdfa;Data Analyst;NA;20000;,00;40,00;20,00
62a35d8f575fa3a5ae88efd6;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a35d95cf25554317304386;Data Analyst;NA;187500;150,00;225,00;187,50
62a35e970a77c1a77f66035a;Data Scientist;NA;137500;125,00;150,00;137,50
62a35eabf408bae018ed7cbc;Data Engineer;NA;53000;41,00;65,00;53,00
62a35f0d24a2626027386a8b;Data Analyst;NA;75500;66,00;85,00;75,50
62a35f825d257a28a30dc128;Data Analyst;NA;75500;66,00;85,00;75,50
62a35fa0f8f7561645856c35;Data Analyst;NA;75500;66,00;85,00;75,50
62a35fc1f8f7561645856c98;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3602318134ddc75ced6b9;Data Analyst;NA;95500;86,00;105,00;95,50
62a360b8f8f7561645856ec4;Data Engineer;NA;95500;86,00;105,00;95,50
62a360dbd8c00e9f541a16cf;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a36146f8f7561645856ff7;Data Analyst;NA;20000;,00;40,00;20,00
62a361af0f8c8599d5af6277;Data Analyst;NA;20000;,00;40,00;20,00
62a361cc575fa3a5ae88f908;Data Analyst;NA;75500;66,00;85,00;75,50
62a3620f0f8c8599d5af63a5;Other;Analyst;75500;66,00;85,00;75,50
62a36251d8c00e9f541a199e;Other;Analytics Engineer;95500;86,00;105,00;95,50
62a36275bc6861bf31771183;Data Analyst;NA;53000;41,00;65,00;53,00
62a3636c2e54c9003e536e6b;Data Analyst;NA;20000;,00;40,00;20,00
62a365c2f8d5efcc22f81e2e;Data Analyst;NA;20000;,00;40,00;20,00
62a365d5d8c00e9f541a20cf;Data Analyst;NA;20000;,00;40,00;20,00
62a3670b575fa3a5ae890422;Data Analyst;NA;20000;,00;40,00;20,00
62a3676bb4da29969c633ac7;Data Analyst;NA;20000;,00;40,00;20,00
62a36794b4da29969c633b48;Data Analyst;NA;20000;,00;40,00;20,00
62a367d224a2626027387b56;Data Analyst;NA;187500;150,00;225,00;187,50
