id,gender,age,ethnicity,location,current_role,industry,current_salary,favourite_programming_language
62a33b3db4da29969c62df3d,Male,26,White or Caucasian,United States,Data Analyst,Healthcare,115500,Python
62a33ba1bae91e4b8b82e35c,Male,36,Asian or Asian American,Canada,Data Analyst,Finance,53000,R
62a33c2cbc6861bf3176bec1,Male,23,Black or African American,Other,Data Engineer,Other,20000,Python
62a33c8624a26260273822f9,Female,35,White or Caucasian,Canada,Other,Finance,187500,R
62a33c91f3072dd892621e03,Male,44,Black or African American,United States,Data Analyst,Healthcare,53000,R
62a33cb6cf25554317300177,Male,33,Black or African American,Other,Data Analyst,Other,20000,Python
62a33cb72e54c9003e531c65,Male,24,Black or African American,Other,Data Scientist,Finance,20000,Python
62a33cd30f8c8599d5af0f8f,Male,35,Asian or Asian American,United States,Data Engineer,Other,137500,Other
62a33cd3cf255543173001d9,Male,35,Asian or Asian American,United States,Data Analyst,Healthcare,95500,R
62a33cd8bc6861bf3176c05f,Male,28,Hispanic or Latino,United States,Data Analyst,Telecommunication,53000,Python
62a33ce918134ddc75ce8c30,Male,37,White or Caucasian,Canada,Data Analyst,Other,75500,Python
62a33cf30a77c1a77f65baa2,Male,32,White or Caucasian,Other,Data Analyst,Other,20000,Python
62a33d15f408bae018ed370d,Male,34,Other,Other,Data Analyst,Tech,20000,R
62a33d1ebae91e4b8b82e707,Male,30,White or Caucasian,United Kingdom,Data Scientist,Education,20000,Python
62a33d4624a26260273824c4,Male,31,White or Caucasian,United States,Data Analyst,Construction,53000,R
62a33d5c0f8c8599d5af107c,Male,29,White or Caucasian,United States,Data Analyst,Finance,53000,Python
62a33d850f8c8599d5af10cb,Male,22,Black or African American,Other,Data Analyst,Tech,20000,Python
62a33d9bf8f7561645852496,Male,23,Black or African American,United States,Student/Looking/None,Other,20000,Python
62a33dbdd8c00e9f5419cd65,Female,26,Asian or Asian American,Canada,Student/Looking/None,Tech,53000,R
62a33de124a26260273826b2,Male,28,Black or African American,Other,Data Analyst,Other,20000,Python
62a33dedd8c00e9f5419ce2b,Male,29,Black or African American,Other,Data Analyst,Finance,53000,Python
62a33dfbd8c00e9f5419ceda,Female,31,White or Caucasian,United States,Data Analyst,Tech,115500,Other
62a33e38f3072dd8926221d3,Male,28,White or Caucasian,Other,Data Analyst,Healthcare,20000,Python
62a33e54d8c00e9f5419cfe9,Male,32,Hispanic or Latino,Other,Data Analyst,Finance,20000,Python
62a33e62575fa3a5ae88aabf,Male,24,Black or African American,Other,Data Analyst,Tech,20000,Python
62a33e63cec54911e9ca4f99,Male,31,Asian or Asian American,India,Data Analyst,Tech,20000,Python
62a33e72bae91e4b8b82ea1a,Male,23,White or Caucasian,United States,Data Analyst,Other,75500,Other
62a33e890f8c8599d5af13b9,Female,33,Asian or Asian American,United States,Data Analyst,Other,115500,Python
62a33e8bf8d5efcc22f7c79a,Male,43,White or Caucasian,United States,Data Analyst,Healthcare,95500,Other
62a33e90cec54911e9ca5031,Female,23,Other,Other,Student/Looking/None,Other,20000,R
62a33e9df8f756164585277b,Male,31,Black or African American,United States,Student/Looking/None,Finance,53000,Python
62a33eb6bc6861bf3176c5a3,Male,31,White or Caucasian,United Kingdom,Data Analyst,Finance,75500,Python
62a33ee0bae91e4b8b82eaec,Male,25,Asian or Asian American,India,Data Analyst,Other,20000,Python
62a33ee80f8c8599d5af14b7,Male,43,White or Caucasian,United States,Data Engineer,Tech,137500,Other
62a33efe0a77c1a77f65bf1e,Female,26,Other,Canada,Data Analyst,Finance,53000,Python
62a33f0ef408bae018ed3aeb,Male,32,White or Caucasian,Other,Other,Other,53000,Python
62a33f17f8f7561645852867,Male,31,White or Caucasian,Other,Other,Tech,20000,Python
62a33f52bc6861bf3176c72c,Male,29,White or Caucasian,United States,Data Analyst,Healthcare,95500,Other
62a33f56cf255543173005e9,Male,24,Hispanic or Latino,Other,Data Analyst,Other,20000,Python
62a33f5a5d257a28a30d7bb5,Male,34,White or Caucasian,United States,Student/Looking/None,Construction,53000,Python
62a33fa5cec54911e9ca51f1,Male,42,Other,Other,Data Analyst,Other,53000,Other
62a33fcb575fa3a5ae88ad59,Female,40,Asian or Asian American,United States,Student/Looking/None,Other,20000,JavaScript
62a33fcf18134ddc75ce91c3,Male,43,White or Caucasian,Other,Student/Looking/None,Telecommunication,53000,Python
62a34006d8c00e9f5419d341,Male,23,Other,Other,Student/Looking/None,Construction,20000,Python
62a34020575fa3a5ae88ade0,Male,23,Asian or Asian American,Other,Student/Looking/None,Education,20000,Python
62a34038b4da29969c62eafe,Male,28,White or Caucasian,United States,Data Analyst,Other,95500,Python
62a3406b575fa3a5ae88ae78,Male,32,White or Caucasian,United States,Data Analyst,Finance,75500,Other
62a340cab4da29969c62ec01,Female,41,White or Caucasian,United States,Data Analyst,Other,75500,R
62a340d62e54c9003e5324b4,Male,33,White or Caucasian,United Kingdom,Data Analyst,Finance,53000,Python
62a340e10a77c1a77f65c2e7,Male,38,Hispanic or Latino,United States,Other,Tech,187500,Python
62a340f5bc6861bf3176caa4,Female,22,Other,India,Data Analyst,Tech,20000,Other
62a34117cec54911e9ca54e7,Male,36,Black or African American,Other,Student/Looking/None,Other,20000,R
62a3413a5d257a28a30d8074,Female,28,Asian or Asian American,United States,Data Engineer,Finance,75500,Python
62a341a1f3072dd8926229a5,Male,30,Other,Other,Student/Looking/None,Other,20000,Other
62a341b0f8f7561645852d1d,Female,24,Hispanic or Latino,United States,Data Analyst,Tech,75500,Python
62a341e8f8d5efcc22f7d002,Male,29,White or Caucasian,United States,Other,Other,53000,C/C++
62a34210cf25554317300c02,Male,29,Hispanic or Latino,Other,Data Analyst,Tech,20000,Python
62a3424eb4da29969c62eedd,Male,38,White or Caucasian,Other,Other,Other,53000,Python
62a34256bae91e4b8b82f16d,Male,31,White or Caucasian,Other,Data Analyst,Finance,20000,Other
62a3426cf408bae018ed409b,Male,25,White or Caucasian,United States,Student/Looking/None,Tech,20000,Python
62a34272f8d5efcc22f7d15f,Male,24,White or Caucasian,United States,Data Analyst,Telecommunication,75500,Python
62a34340bc6861bf3176d05b,Male,28,White or Caucasian,Other,Other,Tech,53000,Python
62a34383b4da29969c62f1be,Female,23,Asian or Asian American,India,Student/Looking/None,Tech,20000,Python
62a34389cec54911e9ca5a22,Male,21,Hispanic or Latino,Other,Data Engineer,Tech,20000,R
62a343a22e54c9003e532a2a,Male,29,Other,Other,Data Analyst,Other,20000,Python
62a343d9f3072dd892622fe4,Male,25,Asian or Asian American,United States,Data Analyst,Tech,53000,Python
62a34400d8c00e9f5419dc2b,Male,27,Black or African American,Other,Data Analyst,Tech,53000,Python
62a34425f8d5efcc22f7d525,Male,23,Asian or Asian American,India,Data Analyst,Tech,53000,Python
62a34449575fa3a5ae88b637,Male,32,Asian or Asian American,United States,Other,Other,95500,R
62a3445dcf255543173011e1,Male,22,Asian or Asian American,India,Student/Looking/None,Healthcare,115500,Python
62a3447a575fa3a5ae88b6c0,Male,25,Asian or Asian American,Other,Data Analyst,Tech,20000,Python
62a3449f7dc029e2d66bf5d1,Female,36,White or Caucasian,Other,Data Analyst,Telecommunication,20000,Python
62a344c5f408bae018ed4806,Female,27,White or Caucasian,United States,Data Analyst,Tech,115500,Other
62a344c6f8d5efcc22f7d6e1,Male,23,Asian or Asian American,India,Other,Tech,20000,Python
62a344e1f3072dd892623328,Male,26,Black or African American,Other,Student/Looking/None,Tech,20000,Other
62a3450424a262602738357f,Female,33,Hispanic or Latino,United States,Other,Healthcare,95500,Python
62a3452818134ddc75ce9e1b,Male,27,White or Caucasian,Other,Data Analyst,Other,115500,Python
62a345490a77c1a77f65cc5b,Male,42,White or Caucasian,United States,Data Analyst,Education,53000,R
62a3455bbc6861bf3176d57a,Male,29,White or Caucasian,Other,Data Analyst,Tech,20000,Python
62a3457bf8d5efcc22f7da17,Female,27,Asian or Asian American,United States,Data Analyst,Tech,137500,Python
62a345b2bae91e4b8b82fad6,Female,39,Hispanic or Latino,United States,Student/Looking/None,Healthcare,53000,Python
62a345c47dc029e2d66bf80a,Male,31,White or Caucasian,Other,Data Analyst,Telecommunication,53000,Python
62a345e25d257a28a30d8b43,Male,29,Hispanic or Latino,Other,Data Analyst,Other,75500,Python
62a34646f8d5efcc22f7dc5c,Male,31,White or Caucasian,United States,Data Analyst,Education,75500,R
62a34687f408bae018ed4c52,Male,30,Hispanic or Latino,Other,Data Analyst,Finance,20000,Python
62a346a37dc029e2d66bfa6d,Male,33,Hispanic or Latino,Other,Data Engineer,Tech,20000,Python
62a346a95d257a28a30d8cb9,Male,25,White or Caucasian,United States,Data Analyst,Other,75500,Python
62a346b4bc6861bf3176d7ce,Male,23,Other,India,Student/Looking/None,Tech,20000,R
62a346cef8f756164585385b,Male,33,Asian or Asian American,United States,Data Analyst,Other,53000,Other
62a346d724a2626027383abd,Male,35,Hispanic or Latino,Other,Other,Other,75500,Python
62a346d90a77c1a77f65d08d,Female,42,White or Caucasian,Other,Data Analyst,Other,53000,Python
62a34726f8d5efcc22f7dec7,Male,25,White or Caucasian,United States,Data Analyst,Tech,75500,Python
62a3476c5d257a28a30d8e6d,Male,23,White or Caucasian,United States,Data Analyst,Other,95500,Python
62a347b4f8f7561645853a98,Female,51,Black or African American,United States,Other,Healthcare,53000,JavaScript
62a347f6b4da29969c62fb79,Male,30,Black or African American,United Kingdom,Data Analyst,Telecommunication,20000,Other
62a3483018134ddc75cea4e6,Male,23,Asian or Asian American,India,Data Analyst,Finance,53000,Python
62a348650f8c8599d5af2b77,Male,24,Asian or Asian American,Canada,Other,Other,53000,R
62a3489318134ddc75cea659,Male,25,Asian or Asian American,Other,Student/Looking/None,Tech,53000,Python
62a348bf2e54c9003e533634,Female,55,Other,United States,Data Analyst,Finance,53000,Python
62a348c2f3072dd892623c10,Female,30,White or Caucasian,United States,Data Analyst,Other,95500,R
62a348f2f8d5efcc22f7e2ba,Male,25,Asian or Asian American,Canada,Data Analyst,Other,53000,Python
62a349160a77c1a77f65d4db,Male,28,White or Caucasian,United States,Data Analyst,Other,75500,Python
62a3493fb4da29969c62fe63,Male,34,White or Caucasian,United Kingdom,Other,Other,53000,Python
62a3496e575fa3a5ae88c4e6,Female,28,Hispanic or Latino,Other,Data Analyst,Tech,20000,Python
62a3498e575fa3a5ae88c554,Male,24,Asian or Asian American,Other,Student/Looking/None,Other,20000,Other
62a34991b4da29969c62ff4b,Male,31,Black or African American,United States,Student/Looking/None,Healthcare,20000,Python
62a349bbf8f756164585400d,Male,25,Asian or Asian American,Canada,Data Analyst,Other,53000,Other
62a349c7cec54911e9ca67c7,Female,38,White or Caucasian,United States,Data Analyst,Finance,115500,Python
62a349d5d8c00e9f5419ead2,Male,30,Hispanic or Latino,Other,Data Analyst,Finance,53000,Python
62a349e6b4da29969c63000c,Male,25,Asian or Asian American,India,Data Analyst,Tech,20000,C/C++
62a34a03cec54911e9ca6869,Female,29,Black or African American,Other,Data Analyst,Tech,20000,Python
62a34ab15d257a28a30d9589,Male,21,White or Caucasian,Other,Data Scientist,Finance,187500,Python
62a34abc0f8c8599d5af31c5,Female,39,Asian or Asian American,United States,Data Analyst,Other,75500,Other
62a34b07cec54911e9ca6b6e,Male,25,White or Caucasian,Other,Student/Looking/None,Other,20000,Python
62a34b0eb4da29969c6302ce,Female,42,Hispanic or Latino,United States,Other,Finance,95500,Other
62a34b1b0f8c8599d5af328b,Male,25,White or Caucasian,United States,Data Analyst,Tech,53000,R
62a34b5b5d257a28a30d96a6,Male,22,White or Caucasian,United States,Data Scientist,Finance,95500,Python
62a34b7ebae91e4b8b83076c,Male,23,Hispanic or Latino,Other,Data Analyst,Other,20000,Python
62a34b99cec54911e9ca6e14,Male,25,Other,Other,Data Engineer,Other,53000,JavaScript
62a34bb0f3072dd892624210,Male,45,White or Caucasian,Canada,Data Engineer,Other,75500,Python
62a34bd0cf2555431730208b,Male,24,White or Caucasian,United States,Data Analyst,Healthcare,75500,Other
62a34bd4f408bae018ed57bd,Male,25,Black or African American,United States,Student/Looking/None,Other,20000,R
62a34c66b4da29969c6305af,Male,26,White or Caucasian,United States,Data Analyst,Other,75500,Python
62a34d1ff8f756164585465c,Male,23,Asian or Asian American,Canada,Data Analyst,Tech,53000,R
62a34d4118134ddc75ceb0ed,Female,42,White or Caucasian,United Kingdom,Student/Looking/None,Other,20000,Python
62a34da0f408bae018ed5abd,Female,42,Black or African American,United States,Other,Education,53000,Other
62a34dbb5d257a28a30d9a61,Male,25,Asian or Asian American,India,Other,Tech,20000,Python
62a34e00f8f7561645854954,Male,38,White or Caucasian,United States,Data Analyst,Tech,95500,R
62a34e082e54c9003e534118,Male,24,Hispanic or Latino,Other,Other,Tech,20000,Python
62a34eb7bc6861bf3176e6d8,Male,28,White or Caucasian,United States,Data Analyst,Education,75500,R
62a34f2af8f7561645854c1c,Male,21,Asian or Asian American,United States,Data Analyst,Healthcare,53000,Python
62a34f3bf408bae018ed5e42,Male,39,White or Caucasian,United States,Data Analyst,Healthcare,115500,R
62a34fa418134ddc75ceb509,Male,23,Asian or Asian American,Other,Data Analyst,Tech,20000,Python
62a34fbacec54911e9ca776f,Female,23,White or Caucasian,Other,Data Analyst,Other,20000,R
62a34fc3f3072dd892624a45,Male,30,White or Caucasian,United States,Data Analyst,Other,75500,R
62a34ff1f408bae018ed601d,Male,26,White or Caucasian,Other,Data Analyst,Other,53000,Python
62a34ff4f3072dd892624b32,Male,37,White or Caucasian,United States,Data Analyst,Healthcare,53000,R
62a3505bd8c00e9f5419f8df,Female,31,White or Caucasian,United States,Data Analyst,Healthcare,75500,Python
62a350f7f3072dd892624d05,Female,25,Black or African American,Other,Data Analyst,Finance,20000,C/C++
62a35130f3072dd892624d9f,Female,26,White or Caucasian,Other,Data Analyst,Healthcare,20000,Python
62a351860a77c1a77f65e86b,Male,30,White or Caucasian,United States,Data Analyst,Healthcare,75500,Other
62a3519b24a262602738514a,Female,39,Black or African American,United States,Data Analyst,Tech,75500,Python
62a35236b4da29969c631214,Female,28,Asian or Asian American,India,Other,Education,20000,Python
62a352a32e54c9003e534981,Male,22,Other,United States,Data Analyst,Finance,75500,Other
62a352f00a77c1a77f65eae7,Male,28,Black or African American,Other,Data Analyst,Telecommunication,20000,Python
62a353372e54c9003e534a40,Male,33,White or Caucasian,United States,Other,Tech,187500,R
62a353565d257a28a30da59f,Female,22,Other,Other,Data Analyst,Finance,20000,Other
62a353f07dc029e2d66c1783,Male,27,Other,India,Student/Looking/None,Tech,20000,Python
62a3545e0f8c8599d5af474b,Male,37,Other,United States,Data Analyst,Other,115500,Other
62a35472cec54911e9ca82bc,Male,24,White or Caucasian,United States,Other,Other,53000,R
62a354bdb4da29969c631700,Male,25,Asian or Asian American,United Kingdom,Data Analyst,Healthcare,53000,R
62a354e9cf255543173031ed,Male,28,Black or African American,United States,Data Engineer,Healthcare,95500,R
62a35541f3072dd892625517,Male,32,White or Caucasian,United Kingdom,Data Analyst,Other,53000,Python
62a355445d257a28a30dab12,Male,29,Asian or Asian American,United States,Data Analyst,Other,53000,Python
62a35631cf25554317303425,Female,26,White or Caucasian,Other,Data Analyst,Healthcare,53000,R
62a357390a77c1a77f65f189,Male,37,White or Caucasian,Canada,Data Engineer,Tech,53000,Python
62a3578b0a77c1a77f65f279,Male,25,White or Caucasian,United States,Data Analyst,Other,53000,R
62a357d30f8c8599d5af4ea3,Male,24,White or Caucasian,Other,Data Analyst,Finance,20000,Other
62a3582e575fa3a5ae88e506,Male,52,White or Caucasian,United States,Other,Finance,137500,Other
62a35878575fa3a5ae88e5d5,Male,27,Asian or Asian American,Other,Data Analyst,Finance,53000,Python
62a35981bae91e4b8b8323dd,Female,29,White or Caucasian,United States,Data Analyst,Healthcare,115500,Other
62a35a2c7dc029e2d66c2519,Male,42,White or Caucasian,Other,Student/Looking/None,Tech,20000,Python
62a35aa2f8d5efcc22f8075d,Male,28,White or Caucasian,United States,Data Analyst,Telecommunication,53000,R
62a35ababae91e4b8b83269d,Male,44,Hispanic or Latino,Other,Data Analyst,Tech,20000,Python
62a35ae0575fa3a5ae88ea98,Male,23,White or Caucasian,Other,Data Engineer,Tech,20000,Python
62a35ae87dc029e2d66c279b,Male,27,Hispanic or Latino,United States,Data Analyst,Other,53000,R
